SetNumber,URL,Description,Notes,DateAdded,DateRetrieved
"6864-1","http://cache.lego.com/bigdownloads/buildinginstructions/6014575.pdf","Batmobile and the Two-Face Chase","{No longer listed at LEGO.com}","2012-01-13","2012-09-11"
"6864-1","http://cache.lego.com/bigdownloads/buildinginstructions/6014577.pdf","Batmobile and the Two-Face Chase","{No longer listed at LEGO.com}","2012-01-13","2012-09-11"
"6865-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024029.pdf","Captain America's™ Avenging Cycle","BI 3001/28-65G, 6865 V29","2012-05-26","2017-06-28"
"6865-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024043.pdf","Captain America's™ Avenging Cycle","BI 3001/28-65G, 6865 V39","2012-05-26","2017-06-28"
"6866-1","http://cache.lego.com/bigdownloads/buildinginstructions/6030915.pdf","Wolverine's™ Chopper Showdown","BI 3004 60/6866 V.29","2012-05-25","2017-06-28"
"6866-1","http://cache.lego.com/bigdownloads/buildinginstructions/6030916.pdf","Wolverine's™ Chopper Showdown","BI 3004 60/6866 V.39","2012-05-25","2017-06-28"
"6866-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013273.pdf","Wolverine's™ Chopper Showdown","BI 3022/12 - COMIC BOOK 6866 V29/39","2012-05-02","2017-06-28"
"6866-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013275.pdf","Wolverine's™ Chopper Showdown","BI 3022/12-COMIC BOOK 6866 V29/39","2012-05-02","2017-06-28"
"6867-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013282.pdf","Loki's™ Cosmic Cube Escape","BI 3022/12 - COMIC BOOK 6867 V2939","2012-05-02","2017-06-28"
"6867-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013279.pdf","Loki's™ Cosmic Cube Escape","BI 3022/12- COMIC BOOK 6867 V29/39","2012-05-02","2017-06-28"
"6867-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024049.pdf","Loki's™ Cosmic Cube Escape","BI 3004 60/6867 V29","2012-05-26","2017-06-28"
"6867-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024050.pdf","Loki's™ Cosmic Cube Escape","BI 3004 60/6867 V39","2012-05-26","2017-06-28"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024052.pdf","Hulk's[TM] Helicarrier Breakout","{No longer listed at LEGO.com}","2012-05-13","2012-09-07"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024053.pdf","Hulk's[TM] Helicarrier Breakout","{No longer listed at LEGO.com}","2012-05-13","2012-09-07"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013287.pdf","Hulk's™ Helicarrier Breakout","BI 3016/12 - COMIC BOOK 6868 V29/39","2012-05-13","2017-06-28"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013288.pdf","Hulk's™ Helicarrier Breakout","BI 3016/12 - COMIC BOOK 6868 V29/39","2012-05-13","2017-06-28"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6046992.pdf","Hulk's™ Helicarrier Breakout","BI 3017 / 80+4 - 65/115g, 6868 V29","2012-11-13","2017-06-28"
"6868-1","http://cache.lego.com/bigdownloads/buildinginstructions/6046993.pdf","Hulk's™ Helicarrier Breakout","BI 3017 / 80+4 - 65/115g, 6868 V39","2012-11-13","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024054.pdf","Quinjet Aerial Battle","BI 3004/36 - 6869 1/3 V.29","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024060.pdf","Quinjet Aerial Battle","BI 3004/36 - 6869 1/3 V.39","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013291.pdf","Quinjet Aerial Battle","BI 3016/12-COMIC BOOK 6869 V29/39","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013293.pdf","Quinjet Aerial Battle","BI 3016/12-COMIC BOOK 6869 V29/39","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024056.pdf","Quinjet Aerial Battle","BI 3019/52-65G - 6869 2/3 V.29","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024062.pdf","Quinjet Aerial Battle","BI 3019/52-65G - 6869 2/3 V.39","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024063.pdf","Quinjet Aerial Battle","BI 3019/52-65G - 6869 3/3 V.39","2012-05-18","2017-06-28"
"6869-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024057.pdf","Quinjet Aerial Battle","BI 3019/52-65G - 6869 3/3 V29","2012-05-18","2017-06-28"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024065.pdf","Spider-Man's[TM] Doc Ock[TM] Ambush","{No longer listed at LEGO.com}","2012-08-01","2012-09-08"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6024064.pdf","Spider-Man's[TM] Doc Ock[TM] Ambush","{No longer listed at LEGO.com}","2012-08-01","2012-09-08"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013295.pdf","Spider-Man's™ Doc Ock™ Ambush","BI 3022/12-COMIC BOOK 6869 V29/39","2012-08-01","2017-06-28"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6013294.pdf","Spider-Man's™ Doc Ock™ Ambush","BI 3022/12-COMIC BOOK 6873 V29/39","2012-08-01","2017-06-28"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6045348.pdf","Spider-Man's™ Doc Ock™ Ambush","BI 3017 / 72+4 - 65/115g, 6873 V29","2012-11-13","2017-06-28"
"6873-1","http://cache.lego.com/bigdownloads/buildinginstructions/6045349.pdf","Spider-Man's™ Doc Ock™ Ambush","BI 3017 / 72+4 - 65/115g, 6873 V39","2012-11-13","2017-06-28"
"6899-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101147.pdf","MOBILE SPACE LAB","BUILDING INSTR. 6899 IN","2010-01-01","2017-06-28"
"6900-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105783.pdf","POWER ITEM (6900)","BUILDING INSTR. 6900/6999 IN","2010-01-01","2017-06-28"
"6901-2","http://cache.lego.com/bigdownloads/buildinginstructions/4117714.pdf","Also 6902-1","{No longer listed at LEGO.com}","2010-01-01",
"6901-2","http://cache.lego.com/bigdownloads/buildinginstructions/4115792.pdf","SMALL DROID SPACE SHIP","BUILDING INSTR. 6901 IN","2010-01-01","2017-06-28"
"6903-1","http://cache.lego.com/bigdownloads/buildinginstructions/4117888.pdf","Beetle Pod","BUILDING INSTR. FOR 6903 IN","2010-01-01","2017-06-28"
"6907-1","http://cache.lego.com/bigdownloads/buildinginstructions/4117926.pdf","POWER ITEM","BUILDING INSTR. 6907/6909","2010-01-01","2017-06-28"
"6910-1","http://cache.lego.com/bigdownloads/buildinginstructions/4656079.pdf","Mini Sports Car","BI 9004/24 - 6910 V29/39","2012-01-01","2017-06-28"
"6910-1","http://cache.lego.com/bigdownloads/buildinginstructions/4656116.pdf","Mini Sports Car","BI 9004/24 - 6910 V29/39","2012-01-01","2017-06-28"
"6911-1","http://cache.lego.com/bigdownloads/buildinginstructions/4656121.pdf","Mini Fire Rescue","BI 9004/24 - 6911 V29/39","2012-01-01","2017-06-28"
"6911-1","http://cache.lego.com/bigdownloads/buildinginstructions/4656120.pdf","Mini Fire Rescue","BI 9004/24 - 6911 V29/39","2012-01-01","2017-06-28"
"6912-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002106.pdf","Super Soarer","BI 3004/40 - 6912 V29/39 1/2","2012-01-01","2017-06-28"
"6912-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002158.pdf","Super Soarer","BI 3004/40 - 6912 V29/39 1/2","2012-01-01","2017-06-28"
"6912-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002138.pdf","Super Soarer","BI 3004/68+4*- 6912 V29/39 2/2","2012-01-01","2017-06-28"
"6912-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002189.pdf","Super Soarer","BI 3004/68+4*- 6912 V29/39 2/2","2012-01-01","2017-06-28"
"6913-1","http://cache.lego.com/bigdownloads/buildinginstructions/6008417.pdf","Blue Roadster","BI 3004/48 - 6913 V29/39 1/2","2012-01-01","2017-06-28"
"6913-1","http://cache.lego.com/bigdownloads/buildinginstructions/6008500.pdf","Blue Roadster","BI 3004/48 - 6913 V29/39 1/2","2012-01-01","2017-06-28"
"6913-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002143.pdf","Blue Roadster","BI 3004/60+4 - 6913 V29/39 2/2","2012-01-01","2017-06-28"
"6913-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002195.pdf","Blue Roadster","BI 3004/60+4 - 6913 V29/39 2/2","2012-01-01","2017-06-28"
"6914-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002145.pdf","Prehistoric Hunters","BI 3004/60+4 - 6914 V29/39 2/2","2012-01-01","2017-06-28"
"6914-1","http://cache.lego.com/bigdownloads/buildinginstructions/6002217.pdf","Prehistoric Hunters","BI 3004/60+4 - 6914 V29/39 2/2","2012-01-01","2017-06-28"
"6914-1","http://cache.lego.com/bigdownloads/buildinginstructions/6008499.pdf","Prehistoric Hunters","BI 3004/48 - 6914 V29/39 1//2","2012-05-05","2017-06-28"
"6914-1","http://cache.lego.com/bigdownloads/buildinginstructions/6008501.pdf","Prehistoric Hunters","BI 3004/48 - 6914 V29/39 1/2","2012-05-05","2017-06-28"
"6915-1","http://cache.lego.com/bigdownloads/buildinginstructions/4108416.pdf","TERRA TOMAHAWK TRACER","BI 6915 IN","2010-01-01","2017-06-28"
"6918-1","http://cache.lego.com/bigdownloads/buildinginstructions/4648378.pdf","Blacksmith Attack","BI 3003/36-6918 Ver.29","2011-06-02","2017-06-28"
"6918-1","http://cache.lego.com/bigdownloads/buildinginstructions/4648379.pdf","Blacksmith Attack","BI 3003/36-6918 Ver.39","2011-06-02","2017-06-28"
"6919-1","http://cache.lego.com/bigdownloads/buildinginstructions/4109341.pdf","Odonata","BUILDING INSTR. 6919","2010-01-01","2017-06-28"
"6934-1","http://cache.lego.com/bigdownloads/buildinginstructions/4299702.pdf","Good Guy","BI  6934","2010-01-01","2017-06-28"
"6935-1","http://cache.lego.com/bigdownloads/buildinginstructions/4299705.pdf","Bad Guy","BI  6935","2010-01-01","2017-06-28"
"6936-1","http://cache.lego.com/bigdownloads/buildinginstructions/4299706.pdf","Piraka & Catapult","BI  6936","2010-01-01","2017-06-28"
"6937-1","http://cache.lego.com/bigdownloads/buildinginstructions/4299707.pdf","Give Away","BI 6937","2010-01-01","2017-06-28"
"6938-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101148.pdf","PLANET EXPLORER","BUILDING INSTR. 6938/1737 IN","2010-01-01","2017-06-28"
"6939-1","http://cache.lego.com/bigdownloads/buildinginstructions/877171.pdf","SPYRIUS GIGANTIC SPY UFO","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"6942-1","http://cache.lego.com/bigdownloads/buildinginstructions/4123780.pdf","ZO WEEVIL   (BOX)","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"6943-1","http://cache.lego.com/bigdownloads/buildinginstructions/4123563.pdf","ZO WEEVIL  (BAG)","BUILDING INSTR. FOR 6943 AM","2010-01-01","2017-06-28"
"6944-1","http://cache.lego.com/bigdownloads/buildinginstructions/4514401.pdf","Good Guy 07","BUILDING INSTR 2002 6944","2010-01-01","2017-06-28"
"6945-1","http://cache.lego.com/bigdownloads/buildinginstructions/4514402.pdf","Bad Guy 07","BUILDING INSTR 2002 6945 IN","2010-01-01","2017-06-28"
"6945-1","http://cache.lego.com/bigdownloads/buildinginstructions/4514403.pdf","Bad Guy 07","BUILDING INSTR 2002 6945 NA","2010-01-01","2017-06-28"
"6946-1","http://cache.lego.com/bigdownloads/buildinginstructions/4514404.pdf","Squid Launcher Function","BUILDING INSTR 2002 6946","2010-01-01","2017-06-28"
"6949-1","http://cache.lego.com/bigdownloads/buildinginstructions/877021.pdf","SPYRIUS MONSTER ROBOT","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"6958-1","http://cache.lego.com/bigdownloads/buildinginstructions/4101149.pdf","SCIENCE LAB","BUILDING INSTR. 6958 IN","2010-01-01","2017-06-28"
"6959-1","http://cache.lego.com/bigdownloads/buildinginstructions/877022.pdf","SPYRIUS ROCKET BASE","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"6963-1","http://cache.lego.com/bigdownloads/buildinginstructions/4240338.pdf","X-WING STARFIGHTER","BI, 6963","2010-01-01","2017-06-28"
"6964-1","http://cache.lego.com/bigdownloads/buildinginstructions/4240339.pdf","BOBA FETT'S SLAVE","BI, 6964","2010-01-01","2017-06-28"
"6965-1","http://cache.lego.com/bigdownloads/buildinginstructions/4240340.pdf","TIE INTERCEPTOR","BI, 6965","2010-01-01","2017-06-28"
"6966-1","http://cache.lego.com/bigdownloads/buildinginstructions/4273872.pdf","Mini Jedi Star Fighter","BI -6966","2010-01-01","2017-06-28"
"6967-1","http://cache.lego.com/bigdownloads/buildinginstructions/4273873.pdf","Star Wars Co-Pack","BI  -6967","2010-01-01","2017-06-28"
"6968-1","http://cache.lego.com/bigdownloads/buildinginstructions/4273874.pdf","X","{No longer listed at LEGO.com}","2010-01-01",
"6969-1","http://cache.lego.com/bigdownloads/buildinginstructions/4124699.pdf","Space Swarm","BUILD INST.  FOR 6969","2010-01-01","2017-06-28"
"6975-1","http://cache.lego.com/bigdownloads/buildinginstructions/4108418.pdf","LARGE UFO","BI 6975 IN","2010-01-01","2017-06-28"
"6977-1","http://cache.lego.com/bigdownloads/buildinginstructions/4118045.pdf","Arachno Base","BUILDINSTR. FOR 6977","2010-01-01","2017-06-28"
"6979-1","http://cache.lego.com/bigdownloads/buildinginstructions/4115486.pdf","SUPER FOS ENERGY SPACESHIP","BI 6979 IN","2010-01-01","2017-06-28"
"6982-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105588.pdf","EXPLORER'S SPACE SHIP","BUILDING INSTR. 6982 IN","2010-01-01","2017-06-28"
"7000-1","http://cache.lego.com/bigdownloads/buildinginstructions/4160089.pdf","Also 5950-1","{No longer listed at LEGO.com}","2010-01-01",
"7001-1","http://cache.lego.com/bigdownloads/buildinginstructions/4160090.pdf","Also 5951-1","{No longer listed at LEGO.com}","2010-01-01",
"7002-1","http://cache.lego.com/bigdownloads/buildinginstructions/4160091.pdf","Also 5952-1","{No longer listed at LEGO.com}","2010-01-01",
"7003-1","http://cache.lego.com/bigdownloads/buildinginstructions/4160092.pdf","Also 5953-1","{No longer listed at LEGO.com}","2010-01-01",
"7009-1","http://cache.lego.com/bigdownloads/buildinginstructions/4512516.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"7009-1","http://cache.lego.com/bigdownloads/buildinginstructions/4512519.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"7009-1","http://cache.lego.com/bigdownloads/buildinginstructions/4519414.pdf","The Final Joust","BI  7009 IN","2010-01-01","2017-06-28"
"7009-1","http://cache.lego.com/bigdownloads/buildinginstructions/4519415.pdf","The Final Joust","BI  7009 NA","2010-01-01","2017-06-28"
"7015-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285224.pdf","Viking Warrior challenges the Fenris Wol","BI  7015 IN","2010-01-01","2017-06-28"
"7015-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285226.pdf","Viking Warrior challenges the Fenris Wol","BI  7015 NA","2010-01-01","2017-06-28"
"7016-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285411.pdf","Viking Boat against the Wyvern Dragon","BI  7016 IN","2010-01-01","2017-06-28"
"7016-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285412.pdf","Viking Boat against the Wyvern Dragon","BI  7016 NA","2010-01-01","2017-06-28"
"7017-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285753.pdf","Viking Catapult versus the Nidhogg Drago","BI, 7017 IN","2010-01-01","2017-06-28"
"7017-1","http://cache.lego.com/bigdownloads/buildinginstructions/4285756.pdf","Viking Catapult versus the Nidhogg Drago","BI, 7017 NA","2010-01-01","2017-06-28"
"7018-1","http://cache.lego.com/bigdownloads/buildinginstructions/4287904.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"7018-1","http://cache.lego.com/bigdownloads/buildinginstructions/4287908.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"7018-1","http://cache.lego.com/bigdownloads/buildinginstructions/4294618.pdf","Viking Ship challenges the Midgard Serpe","BULDING INSTRUCTION, 7018 IN","2010-01-01","2017-06-28"
"7018-1","http://cache.lego.com/bigdownloads/buildinginstructions/4294619.pdf","Viking Ship challenges the Midgard Serpe","BULDING INSTRUCTION, 7018 NA","2010-01-01","2017-06-28"
"7019-1","http://cache.lego.com/bigdownloads/buildinginstructions/4286691.pdf","Viking Fortress against the Fafnir Drago","BI 7019 IN","2010-01-01","2017-06-28"
"7019-1","http://cache.lego.com/bigdownloads/buildinginstructions/4286692.pdf","Viking Fortress against the Fafnir Drago","BI  7019 NA","2010-01-01","2017-06-28"
"7020-1","http://cache.lego.com/bigdownloads/buildinginstructions/4500422.pdf","Army of Vikings with Heavy Artillery Wag","BI, 7020 IN","2010-01-01","2017-06-28"
"7020-1","http://cache.lego.com/bigdownloads/buildinginstructions/4500423.pdf","Army of Vikings with Heavy Artillery Wag","BI, 7020 NA","2010-01-01","2017-06-28"
"7021-1","http://cache.lego.com/bigdownloads/buildinginstructions/4494835.pdf","Viking Double Catapult vs. the Armored O","BI  7021 NA","2010-01-01","2017-06-28"
"7021-1","http://cache.lego.com/bigdownloads/buildinginstructions/4494834.pdf","Viking Double Catapult vs. the Armored O","BI  7021 IN","2010-01-01","2017-06-28"
"7029-1","http://cache.lego.com/bigdownloads/buildinginstructions/4516910.pdf","Skeleton Ship Attack","BUILDING INSTR 7029 IN, BOOK 1","2010-01-01","2017-06-28"
"7029-1","http://cache.lego.com/bigdownloads/buildinginstructions/4516911.pdf","Skeleton Ship Attack","BUILDING INSTR 7029 IN BOOK 2","2010-01-01","2017-06-28"
"7029-1","http://cache.lego.com/bigdownloads/buildinginstructions/4516916.pdf","Skeleton Ship Attack","BUILDING INSTR 7029 NA BOOK 1","2010-01-01","2017-06-28"
"7029-1","http://cache.lego.com/bigdownloads/buildinginstructions/4516917.pdf","Skeleton Ship Attack","BUILDING INSTR 7029 NA BOOK 2","2010-01-01","2017-06-28"
"7030-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209778.pdf","Squad Car","BI 7030","2010-01-01","2017-06-28"
"7031-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209780.pdf","Police Helicopter","BI 7031","2010-01-01","2017-06-28"
"7032-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209782.pdf","Highway Patrol and Undercover Van","BI 7032","2010-01-01","2017-06-28"
"7033-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209784.pdf","Armored Car Action","BI 7033","2010-01-01","2017-06-28"
"7034-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209787.pdf","Surveillance Truck","BI 7034","2010-01-01","2017-06-28"
"7035-1","http://cache.lego.com/bigdownloads/buildinginstructions/4209791.pdf","Police HQ","BI 7035","2010-01-01","2017-06-28"
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4524437.pdf","Book 1/2","{No longer listed at LEGO.com}","2010-01-01",
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4524438.pdf","Book 2/2","{No longer listed at LEGO.com}","2010-01-01",
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4525572.pdf","Book 1/2","{No longer listed at LEGO.com}","2010-01-01",
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4525573.pdf","Book 2/2","{No longer listed at LEGO.com}","2010-01-01",
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4542821.pdf","Dwarves' Mine","BUILDING INSTRUC., 7036 1/2 IN","2010-01-01","2017-06-28"
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4542822.pdf","Dwarves' Mine","BUILDING INSTRUC., 7036 2/2 IN","2010-01-01","2017-06-28"
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4542823.pdf","Dwarves' Mine","BUILDING INSTRUC.,7036 1/2 NA","2010-01-01","2017-06-28"
"7036-1","http://cache.lego.com/bigdownloads/buildinginstructions/4542824.pdf","Dwarves' Mine","BUILDING INSTRUC., 7036 2/2 NA","2010-01-01","2017-06-28"
"7037-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528991.pdf","Tower Raid","BI 7037 1/2","2010-01-01","2017-06-28"
"7037-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528993.pdf","Tower Raid","BI 7037 2/2","2010-01-01","2017-06-28"
"7038-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528995.pdf","Troll Assault Wagon","BI. 7038 NA 39","2010-01-01","2017-06-28"
"7038-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528994.pdf","Troll Assault Wagon","BI. 7038 IN 29","2010-01-01","2017-06-28"
"7040-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528997.pdf","Dwarves' Mine Defender","BI  7040","2010-01-01","2017-06-28"
"7041-1","http://cache.lego.com/bigdownloads/buildinginstructions/4529002.pdf","Troll Battle Wagon","BUILDING INST. 7041 IN 29","2010-01-01","2017-06-28"
"7041-1","http://cache.lego.com/bigdownloads/buildinginstructions/4532926.pdf","Troll Battle Wagon","BUILDING INST. 7041 NA 39","2010-01-01","2017-06-28"
"7042-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227670.pdf","Dune Patrol","BI 7042","2010-01-01","2017-06-28"
"7043-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227671.pdf","Firefighter","BUILDING INSTR.  7043","2010-01-01","2017-06-28"
"7044-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227672.pdf","Rescue Chopper","BI  7044","2010-01-01","2017-06-28"
"7045-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227673.pdf","Hovercraft Hideout","BUILDINGINSTRUCTION 7045","2010-01-01","2017-06-28"
"7046-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227675.pdf","Fire Command Craft","BI 7046","2010-01-01","2017-06-28"
"7047-1","http://cache.lego.com/bigdownloads/buildinginstructions/4227676.pdf","Coast Watch HQ","BI 7047","2010-01-01","2017-06-28"
"7048-1","http://cache.lego.com/bigdownloads/buildinginstructions/4528998.pdf","Troll Warship","BUILD. INSTRUCT.7048 IN 29 1/2","2010-01-01","2017-06-28"
"7048-1","http://cache.lego.com/bigdownloads/buildinginstructions/4529085.pdf","Troll Warship","BUILD. INSTRUCT.7048 IN 29 2/2","2010-01-01","2017-06-28"
"7048-1","http://cache.lego.com/bigdownloads/buildinginstructions/4529000.pdf","Troll Warship","BUILD. INSTRUCT.7048 NA 39 1/2","2010-01-01","2017-06-28"
"7048-1","http://cache.lego.com/bigdownloads/buildinginstructions/4529088.pdf","Troll Warship","BUILD. INSTRUCT.7048 NA 39 2/2","2010-01-01","2017-06-28"
"7049-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645658.pdf","Alien Striker","BI 3001/16 - 7049 V. 29/39","2011-06-02","2017-06-28"
"7049-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645660.pdf","Alien Striker","BI 3001/16 - 7049 V. 29/39","2011-08-05","2017-06-28"
"7050-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645662.pdf","Alien Defender","BI 3001/32 - 7050 V. 29/39","2011-08-05","2017-06-28"
"7050-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645661.pdf","Alien Defender","BI 3001/32 - 7050 V.29/39","2011-06-02","2017-06-28"
"7051-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645664.pdf","Tripod Invader","BI 3005/36 - 7051 V. 29/39","2011-06-02","2017-06-28"
"7051-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645665.pdf","Tripod Invader","BI 3005/36 - 7051 V. 29/39","2011-08-05","2017-06-28"
"7052-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646193.pdf","UFO Abduction","BI 3005/56- 7052 V. 39","2011-08-05","2017-06-28"
"7052-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646192.pdf","UFO Abduction","BI 3005/56- 7052 V.29","2011-06-02","2017-06-28"
"7065-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645669.pdf","Alien Mothership","BI 3005/36 - 7065 V.29/39 1/2","2011-06-02","2017-06-28"
"7065-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645670.pdf","Alien Mothership","BI 3005/36 - 7065 V. 29/39 1/2","2011-08-05","2017-06-28"
"7065-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646289.pdf","Alien Mothership","BI3009/40+4-65g 7065V29/39 2/2","2011-09-08","2017-06-28"
"7065-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646290.pdf","Alien Mothership","BI3009/40+4-65g 7065V29/39 2/2","2011-09-08","2017-06-28"
"7066-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646196.pdf","Earth Defense HQ","BI 3005 -76+4 7066 V.29/39 2/2","2011-08-05","2017-06-28"
"7066-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645674.pdf","Earth Defense HQ","BI 3005/80+4 - 7066 V29/39 1/2","2011-08-05","2017-06-28"
"7066-1","http://cache.lego.com/bigdownloads/buildinginstructions/4646195.pdf","Earth Defense HQ","BI 3005 -76+4 7066 V.29/39 2/2","2011-06-02","2017-06-28"
"7066-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645673.pdf","Earth Defense HQ","BI 3005/80+4 - 7066 V29/39 1/2","2011-06-02","2017-06-28"
"7067-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645677.pdf","Jet-Copter Encounter","BI 3005/72+4 - 7067 V. 29","2011-06-02","2017-06-28"
"7067-1","http://cache.lego.com/bigdownloads/buildinginstructions/4645678.pdf","Jet-Copter Encounter","BI 3005/72+4 - 7067 V. 39","2011-08-05","2017-06-28"
"7070-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244680.pdf","Catapult Raft","BI 7070 IN","2010-01-01","2017-06-28"
"7070-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244684.pdf","Catapult Raft","BI 7070 NA","2010-01-01","2017-06-28"
"7071-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244688.pdf","Treasure Island","BI 7071 IN","2010-01-01","2017-06-28"
"7071-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244690.pdf","Treasure Island","BI 7071 NA","2010-01-01","2017-06-28"
"7072-1","http://cache.lego.com/bigdownloads/buildinginstructions/4243996.pdf","Captain Kragg's Pirate Boat","BI, 7072 IN","2010-01-01","2017-06-28"
"7072-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244001.pdf","Captain Kragg's Pirate Boat","BI, 7072 NA","2010-01-01","2017-06-28"
"7073-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244003.pdf","Pirate Dock","BI, 7073 IN","2010-01-01","2017-06-28"
"7073-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244004.pdf","Pirate Dock","BI, 7073 NA","2010-01-01","2017-06-28"
"7074-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244009.pdf","Skull Island","BI, 7074 IN","2010-01-01","2017-06-28"
"7074-1","http://cache.lego.com/bigdownloads/buildinginstructions/4244012.pdf","Skull Island","BI, 7074 NA","2010-01-01","2017-06-28"
